"","Genus","Species","Habitat_Forest","Habitat_Savanna","Habitat_Shrubland","Habitat_Grassland","Habitat_Wetlands","Habitat_Rocky.areas","Habitat_Desert","IUCN","Pop_T","TrophicGuild"
"1","Allenopithecus","nigroviridis",1,0,0,0,1,0,0,"LC",NA,"Frugivore"
"2","Allocebus","trichotis",1,0,0,0,0,0,0,"VU","D","Omnivore"
"3","Cercopithecus","lhoesti",1,0,1,0,1,0,0,"VU","D","Omnivore"
"4","Cercopithecus","preussi",1,0,0,0,0,0,0,"EN","D","Omnivore"
"5","Cercopithecus","solatus",1,0,0,0,0,0,0,"VU",NA,"Omnivore"
"6","Alouatta","belzebul",1,0,0,0,0,0,0,"VU","D","Folivore_frugivore"
"7","Alouatta","caraya",1,1,0,0,0,0,0,"LC","D","Folivore_frugivore"
"8","Alouatta","guariba",1,0,0,0,0,0,0,"LC","D","Folivore_frugivore"
"9","Alouatta","macconnelli",1,1,0,0,0,0,0,"LC",NA,"Folivore"
"10","Alouatta","nigerrima",1,1,0,0,0,0,0,"LC",NA,"Folivore_frugivore"
"11","Alouatta","palliata",1,0,0,0,0,0,0,"LC",NA,"Folivore"
"12","Alouatta","pigra",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"13","Alouatta","sara",1,1,0,0,0,0,0,"LC","D","Folivore_frugivore"
"14","Alouatta","seniculus",1,1,0,0,0,0,0,"LC",NA,"Folivore_frugivore"
"15","Aotus","azarae",1,1,0,0,0,0,0,"LC","D","Omnivore"
"16","Aotus","lemurinus",1,0,0,0,0,0,0,"VU","D","Omnivore"
"17","Aotus","miconax",1,0,0,0,0,0,0,"VU","D","Omnivore"
"18","Aotus","nancymaae",1,0,0,0,0,0,0,"VU",NA,"Frugivore"
"19","Aotus","nigriceps",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"20","Aotus","trivirgatus",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"21","Aotus","vociferans",1,0,0,0,0,0,0,"LC","D","Frugivore"
"22","Arctocebus","aureus",1,0,0,0,0,0,0,"LC",NA,"Insectivore"
"23","Arctocebus","calabarensis",1,0,0,0,0,0,0,"LC",NA,"Insectivore"
"24","Ateles","belzebuth",1,0,0,0,0,0,0,"EN","D","Frugivore"
"25","Ateles","chamek",1,0,0,0,0,0,0,"EN","D","Frugivore"
"26","Ateles","fusciceps",1,0,0,0,0,0,0,"CR","D","Frugivore"
"27","Ateles","geoffroyi",1,0,0,0,0,0,0,"EN","D","Frugivore"
"28","Ateles","hybridus",1,0,0,0,0,0,0,"CR","D",NA
"29","Ateles","marginatus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"30","Ateles","paniscus",1,0,0,0,0,0,0,"VU","D","Frugivore"
"31","Avahi","laniger",1,0,0,0,0,0,0,"VU","D","Folivore"
"32","Avahi","occidentalis",1,0,0,0,0,0,0,"EN","D","Folivore"
"33","Avahi","unicolor",1,0,0,0,0,0,0,"EN","D","Folivore"
"34","Brachyteles","arachnoides",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"35","Brachyteles","hypoxanthus",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"36","Cacajao","calvus",1,0,0,0,0,0,0,"VU","D","Frugivore"
"37","Cacajao","melanocephalus",1,0,0,0,0,0,0,"LC","S","Frugivore"
"38","Callicebus","barbarabrownae",0,1,1,0,0,0,0,"CR","D",NA
"39","Callicebus","coimbrai",1,1,0,0,0,0,0,"EN","D","Frugivore"
"40","Callicebus","melanochir",1,0,0,0,0,0,0,"VU","D","Frugivore"
"41","Callicebus","nigrifrons",1,0,0,0,0,0,0,"NT","D","Frugivore"
"42","Callicebus","personatus",1,0,0,0,0,0,0,"VU","D","Frugivore"
"43","Callimico","goeldii",1,0,0,0,0,0,0,"VU","D","Omnivore"
"44","Callithrix","aurita",1,0,0,0,0,0,0,"VU","D","Omnivore"
"45","Callithrix","flaviceps",1,0,0,0,0,0,0,"EN","D","Gummivore"
"46","Callithrix","geoffroyi",1,1,0,0,0,0,0,"LC","S","Gummivore"
"47","Callithrix","jacchus",1,1,0,0,0,0,0,"LC","S","Gummivore"
"48","Callithrix","kuhlii",1,0,0,0,0,0,0,"NT","D","Omnivore"
"49","Callithrix","penicillata",1,1,0,0,0,0,0,"LC","I","Gummivore"
"50","Tarsius","syrichta",1,0,0,0,0,0,0,"NT","D","Insectivore"
"51","Callithrix","pygmaea",1,0,0,0,0,0,0,"LC","D","Omnivore"
"52","Cebus","albifrons",1,0,0,0,1,0,0,"LC","D","Omnivore"
"53","Cebus","capucinus",1,0,0,0,1,0,0,"LC",NA,"Omnivore"
"54","Cebus","kaapori",1,0,0,0,0,0,0,"CR","D","Omnivore"
"55","Cebus","olivaceus",1,0,0,0,0,0,0,"LC",NA,"Omnivore"
"56","Tarsius","bancanus",1,0,0,0,0,0,0,"VU","D","Insectivore"
"57","Cercocebus","agilis",1,0,0,0,0,0,0,"LC","S","Frugivore"
"58","Cercocebus","atys",1,1,0,0,0,0,0,"NT","D","Frugivore"
"59","Cercocebus","chrysogaster",1,0,0,0,0,0,0,"DD","D","Frugivore"
"60","Cercocebus","galeritus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"61","Cercocebus","sanjei",1,0,0,0,0,0,0,"EN","D","Frugivore"
"62","Cercocebus","torquatus",1,0,0,0,0,0,0,"VU","D","Frugivore"
"63","Cercopithecus","albogularis",1,0,0,0,0,0,0,"LC",NA,NA
"64","Cercopithecus","ascanius",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"65","Cercopithecus","campbelli",1,1,0,0,0,0,0,"LC",NA,NA
"66","Cercopithecus","cephus",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"67","Cercopithecus","denti",1,0,0,0,0,0,0,"LC","D","Omnivore"
"68","Cercopithecus","diana",1,0,0,0,0,0,0,"VU","D","Frugivore"
"69","Cercopithecus","doggetti",1,0,0,0,0,0,0,"LC","D","Omnivore"
"70","Cercopithecus","dryas",1,0,0,0,0,0,0,"CR",NA,"Frugivore"
"71","Cercopithecus","erythrogaster",1,0,0,0,0,0,0,"VU","D",NA
"72","Cercopithecus","erythrotis",1,0,0,0,0,0,0,"VU","D","Frugivore"
"73","Cercopithecus","hamlyni",1,0,0,0,0,0,0,"VU","D","Omnivore"
"74","Cercopithecus","kandti",1,0,0,0,0,0,0,"EN","D","Folivore"
"75","Cercopithecus","lowei",1,1,0,0,0,0,0,"LC",NA,"Frugivore"
"76","Cercopithecus","mitis",1,0,0,0,0,0,0,"LC","D","Frugivore"
"77","Cercopithecus","mona",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"78","Cercopithecus","neglectus",1,0,0,0,1,0,0,"LC",NA,"Frugivore"
"79","Cercopithecus","nictitans",1,0,0,0,1,0,0,"LC","D","Frugivore"
"80","Cercopithecus","petaurista",1,0,1,0,0,0,0,"LC",NA,"Folivore_frugivore"
"81","Cercopithecus","pogonias",1,1,0,0,0,0,0,"VU","D","Frugivore"
"82","Cercopithecus","roloway",1,0,0,0,0,0,0,"EN","D","Omnivore"
"83","Cercopithecus","sclateri",1,0,1,0,0,0,0,"VU","D","Frugivore"
"84","Cercopithecus","wolfi",1,1,0,0,1,0,0,"LC","D","Folivore_frugivore"
"85","Cheirogaleus","crossleyi",1,0,0,0,0,0,0,"DD","D","Omnivore"
"86","Cheirogaleus","major",1,0,0,0,0,0,0,"DD","D","Folivore_frugivore"
"87","Cheirogaleus","medius",1,0,0,0,0,0,0,"LC","D","Folivore_frugivore"
"88","Cheirogaleus","minusculus",1,0,0,0,0,0,0,"DD","D",NA
"89","Cheirogaleus","sibreei",1,0,0,0,0,0,0,"CR","D",NA
"90","Callicebus","lucifer",1,0,0,0,1,0,0,"LC",NA,"Frugivore"
"91","Callicebus","lugens",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"92","Callicebus","medemi",1,0,0,0,0,0,0,"VU","D",NA
"93","Callicebus","purinus",1,0,0,0,0,0,0,"LC",NA,NA
"94","Callicebus","regulus",1,0,0,0,0,0,0,"LC",NA,NA
"95","Callicebus","torquatus",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"96","Chiropotes","albinasus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"97","Chiropotes","chiropotes",1,0,0,0,0,0,0,"LC","S","Frugivore"
"98","Chiropotes","israelita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Chiropotes","satanas",1,0,0,0,0,0,0,"CR","D","Frugivore"
"100","Chiropotes","utahickae",1,0,0,0,0,0,0,"EN","D","Frugivore"
"101","Chlorocebus","aethiops",0,1,1,0,0,0,0,"LC","S","Omnivore"
"102","Chlorocebus","cynosuros",1,1,0,0,0,0,0,"LC","S","Omnivore"
"103","Chlorocebus","djamdjamensis",1,0,0,0,0,0,0,"VU","D","Folivore"
"104","Chlorocebus","pygerythrus",1,1,1,0,0,0,0,"LC","S","Omnivore"
"105","Chlorocebus","sabaeus",1,1,0,0,0,0,0,"LC","S","Omnivore"
"106","Chlorocebus","tantalus",1,1,0,0,0,0,0,"LC","S","Omnivore"
"107","Colobus","angolensis",1,0,0,0,0,0,0,"LC",NA,"Folivore"
"108","Colobus","guereza",1,0,0,0,0,0,0,"LC",NA,"Folivore_frugivore"
"109","Colobus","polykomos",1,0,0,0,0,0,0,"VU",NA,"Folivore"
"110","Colobus","satanas",1,0,0,0,0,0,0,"VU","D","Frugivore"
"111","Colobus","vellerosus",1,1,0,0,0,0,0,"VU",NA,"Folivore"
"112","Daubentonia","madagascariensis",1,0,1,0,0,0,0,"EN","D","Insectivore"
"113","Erythrocebus","patas",1,1,1,1,0,0,0,"LC","D","Omnivore"
"114","Eulemur","albifrons",1,0,0,0,0,0,0,"EN","D","Frugivore"
"115","Eulemur","cinereiceps",1,0,0,0,0,0,0,"CR","D","Frugivore"
"116","Eulemur","collaris",1,0,0,0,0,0,0,"EN","D","Frugivore"
"117","Eulemur","coronatus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"118","Eulemur","fulvus",1,0,0,0,0,0,0,"NT","D","Folivore_frugivore"
"119","Eulemur","macaco",1,0,0,0,0,0,0,"VU","D","Frugivore"
"120","Eulemur","mongoz",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"121","Eulemur","rubriventer",1,0,0,0,0,0,0,"VU","D",NA
"122","Eulemur","rufus",1,0,0,0,0,0,0,"VU","D","Frugivore"
"123","Eulemur","sanfordi",1,0,0,0,0,0,0,"EN","D","Frugivore"
"124","Euoticus","elegantulus",1,0,0,0,0,0,0,"LC","S","Gummivore"
"125","Euoticus","pallidus",1,0,0,0,0,0,0,"LC",NA,"Gummivore"
"126","Galago","gallarum",0,1,0,0,0,0,0,"LC","S","Omnivore"
"127","Galago","matschiei",1,0,0,0,0,0,0,"LC","D","Omnivore"
"128","Galago","moholi",0,1,0,0,0,0,0,"LC","S","Omnivore"
"129","Galago","senegalensis",1,1,0,0,0,0,0,"LC","S","Omnivore"
"130","Galago","demidoff",1,0,0,0,0,0,0,"LC","S","Omnivore"
"131","Galago","granti",1,0,0,0,0,0,0,"LC","S","Omnivore"
"132","Galago","orinus",1,0,0,0,0,0,0,"NT","D","Omnivore"
"133","Galago","rondoensis",1,0,0,0,0,0,0,"CR","D","Omnivore"
"134","Galago","thomasi",1,0,0,0,0,0,0,"LC","S","Omnivore"
"135","Galago","zanzibaricus",1,0,0,0,0,0,0,"LC","S","Omnivore"
"136","Gorilla","beringei",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"137","Gorilla","gorilla",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"138","Hapalemur","alaotrensis",0,0,0,0,1,0,0,"CR","D","Folivore"
"139","Hapalemur","aureus",1,0,0,0,1,0,0,"CR","D","Folivore"
"140","Hapalemur","griseus",1,0,0,0,0,0,0,"VU","D","Folivore"
"141","Hapalemur","occidentalis",1,0,0,0,0,0,0,"VU","D","Folivore_frugivore"
"142","Bunopithecus","hoolock",1,0,0,0,0,0,0,"EN","D","Frugivore"
"143","Hylobates","agilis",1,0,0,0,0,0,0,"EN","D","Frugivore"
"144","Hylobates","albibarbis",1,0,0,0,0,0,0,"EN","D","Frugivore"
"145","Hylobates","klossii",1,0,0,0,0,0,0,"EN","D","Frugivore"
"146","Hylobates","lar",1,0,0,0,0,0,0,"EN","D","Frugivore"
"147","Hylobates","moloch",1,0,0,0,0,0,0,"EN","D","Frugivore"
"148","Hylobates","muelleri",1,0,0,0,0,0,0,"EN","D","Frugivore"
"149","Hylobates","pileatus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"150","Indri","indri",1,0,0,0,0,0,0,"CR","D","Folivore"
"151","Lagothrix","cana",1,1,0,0,0,0,0,"EN","D","Frugivore"
"152","Oreonax","flavicauda",1,0,0,0,0,0,0,"CR","D","Frugivore"
"153","Lagothrix","lagothricha",1,1,0,0,0,0,0,"VU","D","Frugivore"
"154","Lagothrix","lugens",0,0,0,0,0,0,0,"CR","D",NA
"155","Lagothrix","poeppigii",1,0,0,0,0,0,0,"VU","D","Frugivore"
"156","Lemur","catta",1,0,1,0,0,0,0,"EN","D","Folivore_frugivore"
"157","Saguinus","fuscicollis",1,0,0,0,1,0,0,"LC","D",NA
"158","Saguinus","nigricollis",1,0,0,0,1,0,0,"LC","D","Omnivore"
"159","Saguinus","tripartitus",1,0,0,0,1,0,0,"NT","D","Omnivore"
"160","Saguinus","melanoleucus",1,0,0,0,0,0,0,"LC","D",NA
"161","Leontopithecus","caissara",1,0,0,0,0,0,0,"CR","D","Frugivore"
"162","Leontopithecus","chrysomelas",1,0,0,0,0,0,0,"EN","D","Omnivore"
"163","Leontopithecus","chrysopygus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"164","Leontopithecus","rosalia",1,0,0,0,0,0,0,"EN","S","Frugivore"
"165","Lepilemur","ankaranensis",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"166","Lepilemur","dorsalis",1,0,0,0,0,0,0,"VU","D","Folivore"
"167","Lepilemur","edwardsi",1,0,0,0,0,0,0,"EN","D","Folivore"
"168","Lepilemur","leucopus",1,0,0,0,0,0,0,"EN","D","Folivore"
"169","Lepilemur","microdon",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"170","Lepilemur","mustelinus",1,0,0,0,0,0,0,"NT","D","Folivore"
"171","Lepilemur","ruficaudatus",1,0,0,0,0,0,0,"VU","D","Folivore"
"172","Lepilemur","septentrionalis",1,0,0,0,0,0,0,"CR","D","Folivore"
"173","Lophocebus","albigena",1,0,0,0,0,0,0,"LC","D","Frugivore"
"174","Lophocebus","aterrimus",1,0,0,0,0,0,0,"NT","D","Frugivore"
"175","Lophocebus","opdenboschi",1,0,0,0,1,0,0,"DD","D",NA
"176","Loris","lydekkerianus",1,0,0,0,0,0,0,"LC","D","Insectivore"
"177","Loris","tardigradus",1,0,0,0,0,0,0,"EN","D","Insectivore"
"178","Macaca","arctoides",1,0,0,0,0,0,0,"VU","D","Folivore_frugivore"
"179","Macaca","assamensis",1,0,0,0,0,0,0,"NT","D","Frugivore"
"180","Macaca","cyclopis",1,0,0,0,0,0,0,"LC","S",NA
"181","Macaca","fascicularis",1,0,0,0,1,0,0,"LC","D","Frugivore"
"182","Macaca","fuscata",1,0,0,0,0,0,0,"LC","S","Folivore_frugivore"
"183","Macaca","hecki",1,0,0,0,0,0,0,"VU","D","Omnivore"
"184","Macaca","leonina",1,0,0,0,0,0,0,"VU","D","Frugivore"
"185","Macaca","maura",1,0,0,1,0,0,0,"EN","D","Frugivore"
"186","Macaca","mulatta",1,1,1,0,0,0,0,"LC",NA,NA
"187","Macaca","nemestrina",1,0,0,0,0,0,0,"VU","D","Frugivore"
